Index,Book Name,Author,Rating,Number of Votes,Score
4892,La vie devant soi,Romain Gary,4.21,32742,1014
4893,"Reveal Me (Shatter Me, #5.5)",Tahereh Mafi,3.97,99693,1014
4894,"Girl, Serpent, Thorn",Melissa Bashardoust,3.65,39481,1014
4895,The Christmas Sweater,Glenn Beck,3.82,16571,1013
4896,"Chainfire (Sword of Truth, #9)",Terry Goodkind,3.95,53040,1013
4897,Every Soul a Star,Wendy Mass,4.1,24878,1013
4898,"In a Dark, Dark Wood",Ruth Ware,3.72,370037,1013
4899,Untamed,Glennon Doyle,3.99,467201,1013
4900,"Firestar's Quest (Warriors Super Edition, #1)",Erin Hunter,4.32,26081,1012
4901,Innocent Erendira and Other Stories,Gabriel García Márquez,3.89,20431,1012
4902,"Naked (The Blackstone Affair, #1)",Raine Miller,4.01,74446,1012
4903,"Das erste Buch der Träume (Silber, #1)",Kerstin Gier,4.11,50060,1012
4904,"Letters to the Lost (Letters to the Lost, #1)",Brigid Kemmerer,4.32,48549,1012
4905,"Plainsong (Plainsong, #1)",Kent Haruf,4.04,75838,1011
4906,"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card,3.97,79179,1011
4907,"The Mephisto Club (Rizzoli & Isles, #6)",Tess Gerritsen,4.03,47842,1011
4908,"Consider Phlebas (Culture, #1)",Iain M. Banks,3.85,94146,1011
4909,"Eleven on Top (Stephanie Plum, #11)",Janet Evanovich,4.17,112596,1010
4910,The Door Into Summer,Robert A. Heinlein,4.02,27332,1010
4911,The Demolished Man,Alfred Bester,3.97,32700,1010
4912,The Reason I Jump: the Inner Voice of a Thirteen-Year-Old Boy with Autism,Naoki Higashida,3.87,58831,1010
4913,"The Human Stain (The American Trilogy, #3)",Philip Roth,3.91,42682,1009
4914,"The Bird and the Sword (The Bird and the Sword Chronicles, #1)",Amy Harmon,4.18,43162,1009
4915,"Only Time Will Tell (The Clifton Chronicles, #1)",Jeffrey Archer,4.1,91812,1009
4916,"Midnight (Warriors: The New Prophecy, #1)",Erin Hunter,4.27,44528,1008
4917,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,3.85,104350,1007
4918,Battle Hymn of the Tiger Mother,Amy Chua,3.66,52904,1007
4919,Now Wait for Last Year,Philip K. Dick,3.9,7362,1007
4920,"Breathe (Sea Breeze, #1)",Abbi Glines,3.85,83836,1007
4921,Next,Michael Crichton,3.53,74773,1007
4922,"Goddess of Spring (Goddess Summoning, #2)",P.C. Cast,4.2,10898,1007
4923,"Wundersmith: The Calling of Morrigan Crow (Nevermoor, #2)",Jessica Townsend,4.48,37827,1007
4924,The Misanthrope,Molière,3.76,23978,1007
4925,Uncanny Alliance (Jack Ludefance PI Series),Behcet Kaya,4.37,1116,1007
4926,"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",Margaret Weis,4.14,59230,1006
4927,"The Clan of the Cave Bear, the Valley of Horses, the Mammoth Hunters, the Plains of Passage (Earth's Children, #1-4)",Jean M. Auel,4.32,5744,1005
4928,Love Is a Dog from Hell,Charles Bukowski,3.97,36451,1005
4929,"Vanish (Firelight, #2)",Sophie Jordan,3.9,33702,1005
4930,The End of Mr. Y,Scarlett Thomas,3.77,17756,1005
4931,"Fruits Basket, Vol. 12",Natsuki Takaya,4.45,14640,1004
4932,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.13,54439,1004
4933,Bloodline,Sidney Sheldon,3.86,34228,1003
4934,"Dreams Made Flesh (The Black Jewels, #5)",Anne Bishop,4.34,17592,1003
4935,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",Betty MacDonald,4.16,54561,1002
4936,"White Cat (Curse Workers, #1)",Holly Black,3.79,49538,1001
4937,The View from Saturday,E.L. Konigsburg,3.76,46230,1000
4938,Origins,Angelo Tsanatelis,4.02,59,1000
4939,The God Complex,Chris Titus,3.71,1479,1000
4940,"Cold Days (The Dresden Files, #14)",Jim Butcher,4.48,102156,1000
4941,Curse of The Salute,Anastacia Moore,3.54,1928,1000
4942,"We Got Zombies on the Lawn Again, Ma (Ax Handel's Special Zombie Notebooks, #1)",Donnie Smith,3.59,128,1000
4943,The Beech Tree,Don Phelan,4.13,115,1000
4944,Burnt Offerings,Robert Marasco,3.79,8919,1000
4945,"Angus and Sadie (Davis Farm, #1)",Cynthia Voigt,4.01,598,1000
4946,The Conqueror Worms,Brian Keene,3.89,4442,1000
4947,Best Ghost Stories of J.S. Le Fanu,J. Sheridan Le Fanu,4.15,1683,1000
4948,The Blood of the Vampire,Florence Marryat,3.64,872,1000
4949,The Skeleton’s Holiday,Leonora Carrington,3.66,1198,1000
4950,Lights on Skeleton Ridge,Manly Wade Wellman,0.0,0,1000
4951,The Mystery of the Sea,Bram Stoker,3.46,235,1000
4952,Night of Camp David,Fletcher Knebel,3.51,1616,1000
4953,Everything the Darkness Eats,Eric LaRocca,2.77,4308,1000
4955,Tales of E.T.A. Hoffmann,E.T.A. Hoffmann,4.03,2238,1000
4956,"Flaxman Low, Occult Psychologist, Collected Stories",H. Hesketh-Prichard,3.44,89,1000
4957,His Last Bow,Arthur Conan Doyle,4.25,42425,1000
4958,Necks of Sinners,Hank Spencer,0.0,0,1000
4959,Gunmen Die Hard,Don Rogan,0.0,0,1000
4960,The Secret Agent,Joseph Conrad,3.59,23411,999
4961,"Excession (Culture, #5)",Iain M. Banks,4.2,32152,999
4962,The Long Hard Road Out of Hell,Marilyn Manson,3.82,31109,999
4963,"Sons of Destiny (Cirque du Freak, #12)",Darren Shan,4.2,22855,999
4964,"I Am Not a Serial Killer (John Cleaver, #1)",Dan Wells,3.79,39923,999
4965,The Manson File: Myth and Reality of an Outlaw Shaman,Nikolas Schreck,4.17,351,999
4966,How To NOT Be An Idiot When You Get Divorced,Jaeson D. Rau,4.18,206,999
4968,"The Redemption of Callie & Kayden (The Coincidence, #2)",Jessica Sorensen,4.09,59743,998
4969,Seize the Night (Dark-Hunter #6),Sherrilyn Kenyon,4.35,48148,998
4970,Goblinheart,Brett Axel,4.38,190,997
4971,استمتع بحياتك,محمد عبد الرحمن العريفي,4.19,14023,997
4972,Temptation and Denial,Adam Nicke,4.64,165,997
4973,"The Wizard Heir (The Heir Chronicles, #2)",Cinda Williams Chima,4.14,42625,996
4974,"Forest Born (The Books of Bayern, #4)",Shannon Hale,4.04,27793,996
4975,"Memories, Dreams, Reflections",C.G. Jung,4.17,35366,996
4976,....Și la sfârșit a mai rămas coșmarul,Oliviu Crâznic,4.45,214,996
4977,The Castle of Otranto,Horace Walpole,3.19,37144,996
4978,Rules of Civility,Amor Towles,4.08,247504,996
4979,Mastery,Robert Greene,4.26,43480,996
4980,Why We Never Repeat Jokes?,Ramzy Sweis,4.23,226,996
4981,"Dear Martin (Dear Martin, #1)",Nic Stone,4.34,81592,996
4982,The Pit and the Pendulum,Edgar Allan Poe,4.15,69686,995
4983,Selected Stories of Anton Chekhov,Anton Chekhov,4.37,31171,995
4984,La Horde du Contrevent,Alain Damasio,4.43,7256,995
4985,"Murder Most Unladylike (Murder Most Unladylike, #1)",Robin Stevens,4.03,24311,995
4986,"Muhammad, the World-Changer: An Intimate Portrait",Mohamad Jebara,4.47,524,995
4988,"Wild Seed (Patternmaster, #1)",Octavia E. Butler,4.2,36127,994
4989,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,4.07,166236,994
4990,"The Desert Spear (Demon Cycle, #2)",Peter V. Brett,4.21,88587,994
4991,Chesapeake,James A. Michener,4.21,26233,993
4992,The Koalemos Initiative,P.H. Wilson,3.82,45,993
4993,Maybe You Should Talk to Someone,Lori Gottlieb,4.38,351591,993
4994,Sometimes I Lie,Alice Feeney,3.77,254825,992
4995,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,3.83,559661,992
4996,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,4.22,781199,992
4997,The Good Fairies of New York,Martin Millar,3.51,5531,991
4998,Johnny the Homicidal Maniac: Director's Cut,Jhonen Vásquez,4.34,10129,991
4999,The Bone Clocks,David Mitchell,3.84,97576,991
5000,The Rootless,Angelo Tsanatelis,4.35,34,990
5001,Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,4.2,28908,990
5002,Grim Fairy Tales,Adam Nicke,4.55,139,990
5003,The Seven Storey Mountain,Thomas Merton,4.07,19796,989
5004,The Devil and Miss Prym,Paulo Coelho,3.62,71721,989
5005,"Let the Sky Fall (Sky Fall, #1)",Shannon Messenger,3.96,15589,989
5006,How I Live Now,Meg Rosoff,3.58,46061,989
5007,In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,4.49,90999,989
5008,Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,4.38,97776,989
5009,The Nickel Boys,Colson Whitehead,4.26,257418,989
5010,Radio Silence,Alice Oseman,4.19,118181,989
5011,"Long Shadows (Warriors: Power of Three, #5)",Erin Hunter,4.31,20113,988
5012,"The Witches of Eileanan (The Witches of Eileanan, #1)",Kate Forsyth,4.03,7258,988
5013,The Drowned World,J.G. Ballard,3.48,19163,988
5014,Leaving Time,Jodi Picoult,3.99,189314,988
5015,"Storm and Silence (Storm and Silence, #1)",Robert Thier,4.49,28757,988
5016,The Four Winds,Kristin Hannah,4.3,761298,988
5017,Bunny,Mona Awad,3.5,235833,988
5018,Ceremony,Leslie Marmon Silko,3.84,24612,987
5019,Light a Penny Candle,Maeve Binchy,3.96,21635,987
5020,The Broken Wings,Kahlil Gibran,3.95,26324,987
5021,The Fool's Progress,Edward Abbey,4.22,3713,986
5022,"Blindsighted (Grant County, #1)",Karin Slaughter,4.1,105604,986
5023,"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.81,130101,986
5024,What I Talk About When I Talk About Running,Haruki Murakami,3.87,178471,986
5025,"The Kingdom of Copper (The Daevabad Trilogy, #2)",S.A. Chakraborty,4.39,77219,986
5026,"Succubus Dreams (Georgina Kincaid, #3)",Richelle Mead,4.12,29286,985
5027,Çalıkuşu,Reşat Nuri Güntekin,4.32,16864,985
5028,The Bastard of Istanbul,Elif Shafak,3.87,57485,985
5029,The Lost Apothecary,Sarah Penner,3.75,408843,985
5030,Ghost Doors,Frank Lambert,4.3,640,985
5031,The Famished Road,Ben Okri,3.73,13096,984
5032,"Perfect Fifths (Jessica Darling, #5)",Megan McCafferty,3.85,9375,984
5033,"The Affair (Jack Reacher, #16)",Lee Child,4.16,103302,984
5034,A Season in Hell,Arthur Rimbaud,4.07,6017,984
5035,"Tiny Pretty Things (Tiny Pretty Things, #1)",Sona Charaipotra,3.67,15147,984
5036,Annihilation of Caste,B.R. Ambedkar,4.62,7752,984
5037,"Mad Love (DCYE, #3)",Lynessa Layne,4.35,197,984
5038,The Ladies' Paradise (Les Rougon-Macquart #11),Émile Zola,3.98,18423,983
5039,"Uncommon Criminals (Heist Society, #2)",Ally Carter,4.13,43779,983
5040,"The Prince (The Selection, #0.5)",Kiera Cass,3.89,84645,983
5041,Zodiac,Robert Graysmith,3.91,25824,982
5042,The Last Sunset,Bob Atkinson,4.17,213,982
5043,"Raven's Gate (Power of Five, #1)",Anthony Horowitz,3.9,27769,982
5044,The Buried Giant,Kazuo Ishiguro,3.58,110956,982
5045,The Fireman,Joe Hill,3.91,61694,982
5046,The Sluts,Dennis Cooper,3.78,6657,982
5047,"Count Zero (Sprawl, #2)",William Gibson,4.02,56000,981
5048,"Bud, Not Buddy",Christopher Paul Curtis,3.97,111925,981
5049,Crush,Richard Siken,4.34,38348,981
5050,Fallen Dragon,Peter F. Hamilton,4.08,14714,981
5051,I Let You Go,Clare Mackintosh,4.04,141814,981
5052,"Those Who Leave and Those Who Stay (Neapolitan Novels, #3)",Elena Ferrante,4.35,162718,981
5053,You Are the Placebo: Making Your Mind Matter,Joe Dispenza,4.26,11571,981
5054,Dragonwyck,Anya Seton,3.78,6592,980
5055,"Lords of the North (The Saxon Stories, #3)",Bernard Cornwell,4.35,49605,980
5056,Beauty Queens,Libba Bray,3.62,54840,980
5057,"The House with a Clock in Its Walls (Lewis Barnavelt, #1)",John Bellairs,3.73,20097,980
5058,Sister,Rosamund Lupton,3.77,54341,979
5059,Where Things Come Back,John Corey Whaley,3.8,21115,979
5060,Vernon God Little,D.B.C. Pierre,3.61,32939,979
5061,"The Mindf*ck Series (Mindf*ck, #1-5)",S.T. Abby,4.63,63644,979
5062,Manacled,SenLinYu,4.64,93030,979
5063,The Man Who Loved Clowns,June Rae Wood,4.49,2243,978
5064,Spilled Milk,K.L. Randis,4.42,65852,978
5065,おやすみプンプン コミック 全13巻完結セット,Inio Asano,4.67,5004,978
5066,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,4.41,267277,978
5067,A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,4.51,30878,978
5068,"Pieces of Her (Andrea Oliver, #1)",Karin Slaughter,3.83,130541,978
5069,"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,4.19,74868,978
5070,"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,3.83,31232,977
5071,Absent in the Spring,Mary Westmacott,4.16,14815,977
5072,"The Threat Below (Brathius History, #1)",Jason Latshaw,4.11,1623,977
5073,Leading Hybrid and Remote Teams: A Manual on Benchmarking to Best Practices for Competitive Advantage,Gleb Tsipursky,4.41,54,977
5074,The Singing Trees,Boo Walker,4.23,43297,977
5075,"Jesus the Christ: A Study of the Messiah and His Mission According to Holy Scriptures, Both Ancient and Modern",James E. Talmage,4.62,23104,976
5076,Are You Afraid of the Dark?,Sidney Sheldon,3.69,30980,976
5077,"The Captive Part II / The Power (The Secret Circle, #2-3)",L.J. Smith,4.09,19490,976
5078,Summer Sisters,Judy Blume,3.86,119524,976
5079,"Collide (Collide, #1)",Gail McHugh,4.19,66058,976
5080,The Devil's Elixirs,E.T.A. Hoffmann,3.78,2929,976
5081,Hidden Figures,Margot Lee Shetterly,3.97,107780,976
5082,The Rise and Fall of the Dinosaurs: A New History of a Lost World,Steve Brusatte,4.2,34739,976
5083,The Book of Disquiet,Fernando Pessoa,4.41,32924,976
5084,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,3.79,110451,975
5085,Molloy / Malone Dies / The Unnamable,Samuel Beckett,4.28,9142,975
5086,"Darkstalker (Wings of Fire: Legends, #1)",Tui T. Sutherland,4.6,17879,975
5087,Valentine,Julie Mannino,4.14,111,975
5088,Facing the Mountain: A True Story of Japanese American Heroes in World War II,Daniel James Brown,4.49,10959,975
5089,The Robber Bride,Margaret Atwood,3.83,48118,974
5090,"A Spell for Chameleon (Xanth, #1)",Piers Anthony,3.92,46787,974
5091,On the Night of the Seventh Moon,Victoria Holt,3.99,5778,974
5092,The Seven Dials Mystery (Superintendent Battle #2),Agatha Christie,3.8,28770,974
5093,Orthodoxy,G.K. Chesterton,4.19,39377,974
5094,"Vengeful (Villains, #2)",Victoria E. Schwab,4.14,107930,974
5095,The Land of Laughs,Jonathan Carroll,3.89,6532,973
5096,Chinese Cinderella: The True Story of an Unwanted Daughter,Adeline Yen Mah,4.07,39477,973
5097,#Girlboss,Sophia Amoruso,3.64,75746,973
5098,The Boy in the Cellar,Stephen Smith,4.41,1889,973
5099,The Irish Boarding House (The Irish Boarding House #1),Sandy Taylor,4.14,13012,973
5100,Saving Noah,Lucinda Berry,3.95,97019,973
5101,The Final Steps: A Harbor Springs Cozy Legal Mystery,Mark M. Bello,4.35,412,973
5102,الطنطورية,Radwa Ashour,4.36,27723,972
5103,"The 39 Steps (Richard Hannay, #1)",John Buchan,3.6,42972,971
5104,How to Kill a Rock Star,Tiffanie DeBartolo,4.06,15640,971
5105,The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,4.36,34052,971
5106,"Heartstopper: Volume One (Heartstopper, #1)",Oseman Alice,4.45,781923,971
5107,Beyond the Moonlit Sea,Julianne MacLean,4.15,45962,971
5108,"The Ugly Truth (Diary of a Wimpy Kid, #5)",Jeff Kinney,4.19,135164,970
5109,"Fallout (Crank, #3)",Ellen Hopkins,4.26,37989,970
5110,The Twelve Caesars,Suetonius,4.01,21223,970
5111,Midnight,Dean R. Koontz,3.86,27578,970
5112,"I, the Sun",Janet E. Morris,4.21,448,970
5113,"Transfer of Power (Mitch Rapp, #3)",Vince Flynn,4.34,56975,970
5114,Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,Carl Sagan,4.3,17354,969
5115,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,3.97,50797,969
5116,"Mortal Coil (Skulduggery Pleasant, #5)",Derek Landy,4.45,22141,969
5117,The Coldest Girl in Coldtown,Holly Black,3.84,74563,969
5118,"Ceaseless (Existence, #3)",Abbi Glines,4.17,33264,969
5119,I Know What You Did Last Summer,Lois Duncan,3.41,17738,968
5120,"Stolen (Women of the Otherworld, #2)",Kelley Armstrong,4.14,47087,968
5121,"Dawn (Warriors: The New Prophecy, #3)",Erin Hunter,4.32,34905,967
5122,"Death Note, Vol. 9: Contact (Death Note, #9)",Tsugumi Ohba,4.19,20618,967
5123,"Midnight Tides (Malazan Book of the Fallen, #5)",Steven Erikson,4.42,43694,967
5124,"Halt's Peril (Ranger's Apprentice, #9)",John Flanagan,4.39,60471,967
5125,"The Outcasts (Brotherband Chronicles, #1)",John Flanagan,4.38,31087,967
5126,Ordinary Grace,William Kent Krueger,4.27,167869,967
5127,Ellen Foster,Kaye Gibbons,3.79,31345,966
5128,Born Standing Up: A Comic's Life,Steve Martin,3.88,102948,966
5129,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,72479,966
5130,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,3.94,621102,966
5131,"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,4.28,180462,966
5132,"Twilight: The Graphic Novel, Vol. 1",Young Kim,3.89,57703,965
5133,"The Mighty Storm (The Storm, #1)",Samantha Towle,4.15,73900,965
5134,أحببتك أكثر مما ينبغي,أثير عبدالله النشمي,3.56,54099,965
5135,"A Closed and Common Orbit (Wayfarers, #2)",Becky Chambers,4.37,77794,965
5136,Local Woman Missing,Mary Kubica,4.14,563635,965
5137,The Fifth Mountain,Paulo Coelho,3.63,44617,964
5138,"Origins (The Vampire Diaries: Stefan's Diaries, #1)",L.J. Smith,4.14,95748,964
5139,"A Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,4.3,66518,964
5140,"Shadow & Claw (The Book of the New Sun, #1-2)",Gene Wolfe,4.04,20745,963
5141,Giants in the Earth,O.E. Rølvaag,4.03,5891,962
5142,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,3.89,100593,962
5143,"Panic (Panic, #1)",Lauren Oliver,3.55,62068,962
5144,"First Lord's Fury (Codex Alera, #6)",Jim Butcher,4.39,64309,961
5145,Trout Fishing in America,Richard Brautigan,3.76,15774,961
5146,The Girl with the Lower Back Tattoo,Amy Schumer,3.72,127044,961
5147,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mò Xiāng Tóng Xiù,4.81,12686,961
5148,"Dead End Girl (Violet Darger, #1)",L.T. Vargus,4.18,24789,961
5149,Life After God,Douglas Coupland,3.83,12028,960
5150,The Moon and Sixpence,W. Somerset Maugham,4.13,25120,960
5151,"Friday Night Bites (Chicagoland Vampires, #2)",Chloe Neill,4.11,49080,960
5152,The Crow,James O'Barr,4.31,16864,960
5153,"Foundation and Earth (Foundation, #5)",Isaac Asimov,4.07,75199,960
5154,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,4.21,151186,960
5155,One Lost Soul (Hidden Norfolk #1),J.M. Dalgliesh,4.08,20546,960
5156,Edensor,Andrea Hirata,4.12,14662,959
5157,"Lords and Ladies (Discworld, #14; Witches, #4)",Terry Pratchett,4.21,81740,958
5158,"The Second Summer of the Sisterhood (Sisterhood, #2)",Ann Brashares,3.81,99303,958
5159,"Lord of Scoundrels (Scoundrels, #3)",Loretta Chase,4.08,38000,958
5160,Consider the Lobster and Other Essays,David Foster Wallace,4.19,50955,958
5161,"Beautiful Stranger (Beautiful Bastard, #2)",Christina Lauren,4.13,96871,958
5162,Mr. Popper's Penguins,Richard Atwater,3.97,74124,958
5163,"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,4.32,81688,958
5164,"The Maid (Molly the Maid, #1)",Nita Prose,3.76,606762,958
5165,The King of Torts,John Grisham,3.72,87675,957
5166,The Railway Children,E. Nesbit,4.02,61211,957
5167,To a God Unknown,John Steinbeck,3.95,13485,957
5168,"The Sound of Suffering (The Master of Perception, #2)",Darin C. Brown,4.39,99,957
5169,Tress of the Emerald Sea,Brandon Sanderson,4.37,158584,957
5170,Brain Damage,Freida McFadden,4.07,73534,957
5171,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,4.16,102279,956
5172,"Percy Jackson and the Sword of Hades (Percy Jackson and the Olympians, #4.5)",Rick Riordan,4.27,28336,956
5173,"Heartless (Chestnut Springs, #2)",Elsie Silver,4.39,329425,956
5174,"And the Band Played On: Politics, People, and the AIDS Epidemic",Randy Shilts,4.38,28225,955
5175,Evicted: Poverty and Profit in the American City,Matthew Desmond,4.47,103234,955
5176,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,4.06,81051,954
5177,"The Flame of Olympus (Pegasus, #1)",Kate O'Hearn,4.25,14193,954
5178,Three Kingdoms (4-Volume Boxed Set),Luo Guanzhong,4.37,5907,954
5179,The Rest of Us Just Live Here,Patrick Ness,3.68,61927,954
